CDS_Id,Name,emp_n,emp_exceed_abs_z_gt_2,emp_exceed_abs_z_gt_3,smw_oot_n,smw_oot_exceed_abs_z_gt_2,smw_oot_exceed_abs_z_gt_3
76,Diageo,2166,0.04524469067405355,0.002770083102493075,434,0.1935483870967742,0.03225806451612903
78,DSG International,2182,0.045829514207149404,0.002749770852428964,437,0.006864988558352402,0.002288329519450801
80,DSM,2184,0.04532967032967033,0.0022893772893772895,437,0.4462242562929062,0.4462242562929062
81,EADS,2166,0.04524469067405355,0.002770083102493075,434,0.14746543778801843,0.01152073732718894
82,EDF,2184,0.045787545787545784,0.0022893772893772895,437,0.004576659038901602,0.0
83,Edison,2180,0.045871559633027525,0.0027522935779816515,436,0.03669724770642202,0.011467889908256881
84,Energias de Portugal,2184,0.04624542124542125,0.0027472527472527475,437,0.05263157894736842,0.009153318077803204
85,Electrolux,2166,0.045706371191135735,0.002770083102493075,434,0.0,0.0
88,Endesa,2166,0.04524469067405355,0.002770083102493075,434,0.0069124423963133645,0.002304147465437788
90,ENEL,2166,0.04524469067405355,0.002770083102493075,434,0.016129032258064516,0.0069124423963133645
91,EnBW,2184,0.045787545787545784,0.0022893772893772895,437,0.011441647597254004,0.0
92,ENI,2166,0.04478301015697138,0.002770083102493075,434,0.0967741935483871,0.020737327188940093
93,E.ON,2166,0.04524469067405355,0.002770083102493075,434,0.0069124423963133645,0.0
94,Ericsson,2165,0.045727482678983834,0.002771362586605081,433,0.5242494226327945,0.5103926096997691
97,Finmeccanica,2166,0.04524469067405355,0.002770083102493075,434,0.009216589861751152,0.002304147465437788
103,Fortum,2166,0.04524469067405355,0.002770083102493075,434,0.04608294930875576,0.0069124423963133645
105,Orange,2166,0.046168051708217916,0.002770083102493075,434,0.016129032258064516,0.002304147465437788
106,Gallaher,2166,0.04524469067405355,0.002770083102493075,434,0.2764976958525346,0.20046082949308755
107,Gas Natural,2180,0.0463302752293578,0.0027522935779816515,436,0.011467889908256881,0.0045871559633027525
108,GDF Suez,2184,0.045787545787545784,0.0027472527472527475,437,0.034324942791762014,0.004576659038901602
111,Generali,2166,0.04524469067405355,0.002770083102493075,434,0.029953917050691243,0.009216589861751152
112,GlaxoSmithKline,2166,0.04524469067405355,0.002770083102493075,434,0.4861751152073733,0.4147465437788018
116,Experian Finance,2166,0.04524469067405355,0.002770083102493075,434,0.4539170506912442,0.4009216589861751
119,Hannover Re,2181,0.04585052728106373,0.002751031636863824,437,0.041189931350114416,0.004576659038901602
120,Hanson,2164,0.045748613678373386,0.0027726432532347504,433,0.13394919168591224,0.13163972286374134
124,Heineken,2166,0.04524469067405355,0.002770083102493075,434,0.5069124423963134,0.5
125,OTE,2165,0.045727482678983834,0.002771362586605081,433,0.04157043879907621,0.004618937644341801
126,Henkel,2166,0.04524469067405355,0.002770083102493075,434,0.2119815668202765,0.2119815668202765
127,Ladbrokes,2184,0.045787545787545784,0.0027472527472527475,437,0.06864988558352403,0.004576659038901602
128,Holcim,2166,0.04524469067405355,0.002770083102493075,434,0.018433179723502304,0.0
129,Iberdrola,2166,0.04524469067405355,0.002770083102493075,434,0.020737327188940093,0.002304147465437788
131,ICI,2166,0.04524469067405355,0.002770083102493075,434,0.2626728110599078,0.15898617511520738
134,Imperial Tobacco,2166,0.045706371191135735,0.002770083102493075,434,0.03225806451612903,0.002304147465437788
135,ING Bank,2180,0.045871559633027525,0.0027522935779816515,436,0.01834862385321101,0.0022935779816513763
141,Investor,2166,0.04524469067405355,0.002770083102493075,434,0.2557603686635945,0.055299539170506916
143,ISS International,2179,0.04589261128958238,0.0027535566773749425,436,0.01834862385321101,0.01834862385321101
144,Kelda Group,2165,0.045265588914549654,0.002771362586605081,433,0.11778290993071594,0.08083140877598152
145,Kingfisher,2183,0.04626660558863949,0.002748511223087494,437,0.032036613272311214,0.002288329519450801
147,KPN,2165,0.045265588914549654,0.002771362586605081,433,0.020785219399538105,0.006928406466512702
148,Lafarge,2165,0.045265588914549654,0.002771362586605081,433,0.02771362586605081,0.009237875288683603
153,Linde,2165,0.045265588914549654,0.002771362586605081,433,0.006928406466512702,0.0
154,Lloyds TSB Group,2164,0.04528650646950092,0.0027726432532347504,433,0.06928406466512702,0.013856812933025405
156,Lufthansa,2165,0.045727482678983834,0.002771362586605081,433,0.057736720554272515,0.0023094688221709007
157,LVMH,2165,0.045727482678983834,0.002771362586605081,433,0.0,0.0
159,Marks & Spencer,2165,0.04480369515011547,0.002771362586605081,433,0.03002309468822171,0.006928406466512702
162,Metro,2165,0.045265588914549654,0.002771362586605081,433,0.025404157043879907,0.0
164,Michelin,2165,0.045265588914549654,0.002771362586605081,433,0.013856812933025405,0.0
165,O2,2165,0.045265588914549654,0.0023094688221709007,433,0.2956120092378753,0.2956120092378753
169,Munich Re,2169,0.045182111572153065,0.0027662517289073307,434,0.041474654377880185,0.004608294930875576
171,National Grid Elec,2166,0.04524469067405355,0.002770083102493075,434,0.04377880184331797,0.009216589861751152
172,Nestle,2165,0.045265588914549654,0.002771362586605081,433,0.3556581986143187,0.3556581986143187
173,Nokia,2165,0.045265588914549654,0.002771362586605081,433,0.09699769053117784,0.020785219399538105
179,Pearson,2165,0.045265588914549654,0.0023094688221709007,433,0.046189376443418015,0.004618937644341801
181,Pernod Ricard,2165,0.045265588914549654,0.002771362586605081,433,0.050808314087759814,0.004618937644341801
183,Peugeot SA,2165,0.045265588914549654,0.002771362586605081,433,0.04849884526558892,0.006928406466512702
185,Philips,2165,0.045265588914549654,0.002771362586605081,433,0.47344110854503463,0.44341801385681295
186,Kering,2167,0.04522381172127365,0.0027688047992616522,434,0.016129032258064516,0.002304147465437788
188,Portugal Telecom,2116,0.04489603024574669,0.002835538752362949,424,0.11556603773584906,0.05188679245283019
192,Publicis Groupe,2165,0.045265588914549654,0.002771362586605081,433,0.5796766743648961,0.5750577367205543
196,Reed Elsevier,2165,0.04480369515011547,0.002771362586605081,433,0.046189376443418015,0.0
197,Renault,2165,0.045265588914549654,0.002771362586605081,433,0.04849884526558892,0.009237875288683603
198,Rentokil Initial 1927,2169,0.045182111572153065,0.0027662517289073307,434,0.31105990783410137,0.14516129032258066
199,Repsol-YPF,2165,0.045265588914549654,0.002771362586605081,433,0.07159353348729793,0.013856812933025405
200,Thomson Reuters,2165,0.045265588914549654,0.002771362586605081,433,0.3625866050808314,0.3210161662817552
207,Rolls-Royce,2165,0.046189376443418015,0.002771362586605081,433,0.558891454965358,0.5381062355658198
209,Royal & Sun Alliance Group,2162,0.045328399629972246,0.0027752081406105457,433,0.018475750577367205,0.011547344110854504
211,RWE,2165,0.045727482678983834,0.002771362586605081,433,0.03464203233256351,0.0023094688221709007
212,Safeway,2165,0.045727482678983834,0.002771362586605081,433,0.11085450346420324,0.013856812933025405
213,J Sainsbury,2165,0.046189376443418015,0.002771362586605081,433,0.023094688221709007,0.0023094688221709007
222,Scottish Power UK,2165,0.045727482678983834,0.002771362586605081,433,0.018475750577367205,0.0023094688221709007
225,SES Global,2167,0.04568527918781726,0.0027688047992616522,434,0.3986175115207373,0.3870967741935484
227,Siemens,2165,0.045265588914549654,0.002771362586605081,433,0.4110854503464203,0.4018475750577367
228,SIX Continents,2166,0.04524469067405355,0.0023084025854108957,434,0.10138248847926268,0.10138248847926268
229,Societe Generale,2165,0.045265588914549654,0.002771362586605081,433,0.018475750577367205,0.004618937644341801
230,Sodexho Alliance,2165,0.045265588914549654,0.002771362586605081,433,0.4387990762124711,0.4387990762124711
232,Solvay,2165,0.045265588914549654,0.002771362586605081,433,0.009237875288683603,0.004618937644341801
237,Statoil,2178,0.04591368227731864,0.0027548209366391185,436,0.658256880733945,0.658256880733945
238,Saint-Gobain,2165,0.045727482678983834,0.002771362586605081,433,0.018475750577367205,0.0
239,STMicroelectronics,2165,0.045265588914549654,0.002771362586605081,433,0.6027713625866051,0.6027713625866051
240,Stora Enso,2165,0.045727482678983834,0.002771362586605081,433,0.03695150115473441,0.004618937644341801
241,Suedzucker,2165,0.045265588914549654,0.002771362586605081,433,0.06928406466512702,0.009237875288683603
242,Suez,2180,0.045871559633027525,0.0027522935779816515,436,0.034403669724770644,0.0045871559633027525
243,Svenska Cellulosa,2165,0.045727482678983834,0.002771362586605081,433,0.3579676674364896,0.3325635103926097
245,Swiss Re,2165,0.045265588914549654,0.002771362586605081,433,0.06466512702078522,0.011547344110854504
247,Tate & Lyle,2165,0.045265588914549654,0.002771362586605081,433,0.6096997690531177,0.6096997690531177
249,Telecom Italia,2165,0.045265588914549654,0.002771362586605081,433,0.023094688221709007,0.0023094688221709007
250,TDC,2164,0.04528650646950092,0.0027726432532347504,433,0.03695150115473441,0.006928406466512702
251,Telefonica,2165,0.045265588914549654,0.002771362586605081,433,0.03926096997690531,0.006928406466512702
252,Telenor,2165,0.045265588914549654,0.002771362586605081,433,0.26096997690531176,0.03233256351039261
253,TeliaSonera,2164,0.04528650646950092,0.0027726432532347504,433,0.0023094688221709007,0.0
255,Tesco,2165,0.045265588914549654,0.002771362586605081,433,0.018475750577367205,0.0023094688221709007
258,Thomson,500,0.044,0.004,100,0.14,0.06
259,ThyssenKrupp,2165,0.045265588914549654,0.002771362586605081,433,0.03464203233256351,0.004618937644341801
261,Total,2165,0.045265588914549654,0.002771362586605081,433,0.11778290993071594,0.025404157043879907
262,PostNL,2165,0.045265588914549654,0.002771362586605081,433,0.6073903002309469,0.5658198614318707
265,Unilever NV,2163,0.045307443365695796,0.0027739251040221915,433,0.418013856812933,0.4018475750577367
266,Union Fenosa,2167,0.04522381172127365,0.0027688047992616522,434,0.020737327188940093,0.004608294930875576
