,c,chi,OOT_mean,OOT_std,KS_stat,KS_p,n_train,n_oot
105,1.0290906017239938,0.03366503553747256,-0.00376803360413936,1.019590505609116,0.12782113127706984,1.2175224963041726e-06,1732.0,434.0
18,1.4659598701916972,0.06814397713542579,0.024084844832056522,0.8867995652571173,0.16327178110033325,1.4096946920205156e-10,1736.0,434.0
922,1.409917136831162,0.05200994922359912,0.060300405992759175,0.8858613114576236,0.1541734098327976,1.625393532200722e-09,1743.0,436.0
106,1.5,0.0003352329869259485,0.47700065560704374,22.166760994491458,0.3543477224263307,2.9496491340695132e-49,1732.0,434.0
265,1.423187703988935,0.0005298027533893405,0.2626617746314861,20.807321464973967,0.2617553947820852,1.1513935056397363e-26,1730.0,433.0
3,0.7944452235980044,0.00993371932810475,-0.021038268002308135,1.46144436548268,0.1478368889666627,1.0043712052673136e-08,1732.0,433.0
60,1.1096826251625802,0.040283471857220865,-0.03678319101901098,0.9294292200580869,0.1730597311938804,7.76108849722469e-12,1732.0,434.0
82,0.9199921299174552,0.05167674885585502,0.034202169825489986,0.8637721209489412,0.12677648833290667,1.3953765863676443e-06,1747.0,437.0
94,1.5,0.00017917935853795086,2.1547174518179864,48.98822647820547,0.2495545271995066,3.0334556469925722e-24,1732.0,433.0
556,1.2848351900116437,0.0672042010408817,0.05417583783178416,0.6094622714415889,0.19269747518631924,1.3689563476466578e-14,1732.0,434.0
97,1.060334636302528,0.05193538061270325,0.018223884899655984,0.8581028144358742,0.08304728251982357,0.004724836281055169,1732.0,434.0
148,1.3199322519756072,0.0486293510823135,-0.017651965170946585,0.8737750454655508,0.19221758410973067,1.7364856866673688e-14,1732.0,433.0
282,0.8328329353473122,0.027534895834914114,-0.01347393660511297,1.0665897181561357,0.14942264773439173,5.55262828827035e-09,1746.0,437.0
40,1.3866409071025594,0.0011900213584729248,0.0988542058760668,10.48752708867055,0.2359611116095528,9.688347982783265e-22,1732.0,434.0
242,1.0600194443941486,0.03247255848529851,0.008172553918803794,1.0307280266519223,0.15486010433349096,1.3476042674853763e-09,1744.0,436.0
13,0.8086422447751054,0.044733863488925184,-0.03722426949312806,0.8238031560277685,0.1709196671194697,1.4847376306892214e-11,1732.0,434.0
212,0.9154412671691194,0.017741013607042642,-0.07093501130965404,1.3472885236432284,0.11242822534492564,3.187416094758445e-05,1732.0,433.0
207,1.8708395271893,0.0028161133198320518,1.1953674518620445,12.88401845894367,0.21895457286412334,1.0433607727264125e-18,1732.0,433.0
1161,1.8260311702814842,0.008590869383500187,0.02239585801581288,1.9556195171258794,0.4068957625385501,1.878645636580966e-65,1732.0,434.0
285,1.7445517014147467,0.05760206922792322,0.019373018385233955,1.0120752097859478,0.16212636730683438,1.6698711452052306e-10,1745.0,437.0
141,1.5553275394687154,0.007578554689655605,-0.031138209113822365,1.781880177390447,0.33224229718545906,3.363473737500315e-43,1732.0,434.0
156,0.9437210774558892,0.029875409572268266,-0.03214024164312068,1.1170276428636667,0.12131727281174276,5.1878464419695045e-06,1732.0,433.0
568,1.655946065652754,0.06333760665765645,0.05022919899438284,0.8955508200787881,0.1042640401777673,0.00013692816377698034,1746.0,437.0
88,1.4295223804040025,0.058214701117880546,0.01458412606924118,0.59859234893184,0.2090616483897152,4.0590464044744085e-17,1732.0,434.0
93,0.8442843692524893,0.04856273900444457,0.023176165620491206,0.8549638931603457,0.14906195967662705,6.983107688162224e-09,1732.0,434.0
213,1.1600342335276295,0.04122951578686513,0.02307640745590117,0.8947911659823385,0.10474195611527082,0.00013692495609246176,1732.0,433.0
