CDS_Id,Name,n,mean_z,std_z,skew_z,excess_kurtosis_z,KS_stat,KS_p,JB_stat,JB_p,exceed_abs_z_gt_2,exceed_abs_z_gt_3,c,chi,n_train,n_oot,KS_stat_diag,KS_p_diag
38,LHR Airports,434,0.04183414083462792,0.6810098476427647,0.19483746056631254,0.49572715232801334,0.2534562211981567,4.618772982519945e-25,6.828329903046991,0.03290387156049086,0.002304147465437788,0.0,0.5225642726279596,0.0411204621908291,1732.0,434.0,0.26642693144352453,1.094338510968893e-27
39,BASF,434,0.028555443436956623,1.2353588124123245,0.28813701553982113,1.1515162992048058,0.21817182392302292,1.2833238922698402e-18,28.830209847707046,5.490342979705767e-07,0.12672811059907835,0.02304147465437788,1.2425005887340848,0.02753262689056759,1732.0,434.0,0.23495265179357405,1.4794407667182079e-21
40,British American Tobacco,434,0.0988542058760668,10.48752708867055,0.7717754852248226,3.4582700832950177,0.2511520737327189,1.3072581094934452e-24,252.41634079392568,1.5434338666858233e-55,0.4838709677419355,0.4838709677419355,1.3866409071025594,0.0011900213584729248,1732.0,434.0,0.2359611116095528,9.688347982783265e-22
41,Bayer,430,0.012434686364659242,0.7739763927464793,0.09798399998365143,-0.3328337844018745,0.16319384515850613,1.786224492342047e-10,2.7898812875933987,0.2478477472319062,0.0,0.0,0.6695844776645308,0.06461004202907782,1720.0,430.0,0.1366416796353862,1.8288946652106903e-07
43,Bertelsmann,434,-0.00394991788598853,0.6724496943511429,0.23422492451180177,0.19688721254574304,0.20437703413051633,2.258995019805219e-16,4.532228479943381,0.10371440739620563,0.004608294930875576,0.0,1.2525813921981759,0.06602447303865239,1732.0,434.0,0.19048882186909533,2.892553544418079e-14
45,BMW,434,0.01557069582218699,1.0147712374911362,0.9147445548133598,3.4134119758504324,0.15387257439876745,1.9402218676975155e-09,264.3121116430881,4.0304562063125055e-58,0.03917050691244239,0.01152073732718894,1.3562903478702293,0.050333335073934365,1732.0,434.0,0.16023247932041296,3.3487179197051763e-10
48,Alliance Boots,433,0.0029741432366428406,0.30277717527289055,1.8159238047562862,29.667028813926912,0.4104057450690443,1.7834644527910382e-66,15737.326732383626,0.0,0.0023094688221709007,0.0,1.4930237919825133,0.028185404600225724,1732.0,433.0,0.3208325349254265,3.759288674565348e-40
49,Bouygues,434,-0.03842131303486833,1.102187651202304,0.20289386221666292,0.443092293035527,0.1927096005114859,1.3633121326217282e-14,6.2112849557918475,0.044795729046200314,0.055299539170506916,0.009216589861751152,1.1189175270507201,0.02705712376413079,1732.0,434.0,0.18258384988381493,3.9126761170384087e-13
52,BAE Systems,434,0.016751971238548453,1.0356370521658576,0.13706071577051043,-0.3725080288524336,0.1589861751152074,4.75200155252863e-10,3.988557796177968,0.1361117692440264,0.03225806451612903,0.002304147465437788,0.8194800518064537,0.0246497209002456,1732.0,434.0,0.16543899386071848,7.52976452334522e-11
54,BT Group,434,0.009447317765841306,0.7421813198094411,0.6133307526906417,3.835228043170451,0.18176320858801986,5.094242480262603e-13,285.0475839531904,1.2667870196144635e-62,0.016129032258064516,0.004608294930875576,1.4967608132105574,0.050277878642501,1732.0,434.0,0.18354715189596382,2.865941987587442e-13
55,BSkyB,434,0.007007344385715074,1.162477984114295,0.33263539791859426,0.08520437387114033,0.16359447004608296,1.2847151870721816e-10,8.037843172958276,0.01797233610281805,0.059907834101382486,0.004608294930875576,1.0640417587193358,0.02274560079380708,1732.0,434.0,0.1659992545300656,6.394087159078881e-11
57,Cadbury Schweppes,437,-0.028335276343188227,1.722145976544743,0.3193615776142177,5.40111832875737,0.23843902329898092,2.4039096698295657e-22,523.8450791156522,1.772092485418732e-114,0.15102974828375287,0.15102974828375287,1.1680272134957672,0.006337245690961175,1745.0,437.0,0.3059523519231795,8.311534079360377e-37
59,Carlton Communications,434,0.3056928409287845,9.195160585005,5.171956493740612,72.49700649364831,0.14132602889248014,5.021034626983265e-08,94758.07811136742,0.0,0.2903225806451613,0.271889400921659,1.5,0.000623753337362698,1732.0,434.0,0.2867292953412496,4.447055355677598e-32
60,Carrefour,434,-0.03678319101901098,0.9294292200580869,0.2892730672397205,-0.2542670201332604,0.1910508883136408,2.393141377469313e-14,7.282213332813855,0.026223307448350632,0.018433179723502304,0.002304147465437788,1.1096826251625802,0.040283471857220865,1732.0,434.0,0.1730597311938804,7.76108849722469e-12
61,Casino,434,0.06390440399166224,0.9157316550706981,0.3798344954209372,1.388944990627241,0.11137433335044927,3.820357184719472e-05,43.771437005768604,3.127182461334197e-10,0.029953917050691243,0.0069124423963133645,1.3079429776573246,0.04936971879263458,1732.0,434.0,0.10195107033844225,0.00022188654550652629
67,Compass Group,434,0.42398327905827005,16.42152056789569,1.309611985666103,12.250877690369041,0.23189017203398798,5.2885436690203325e-21,2769.206469264092,0.0,0.423963133640553,0.423963133640553,2.5463829999972973,0.005268102362335402,1732.0,434.0,0.2852735511499396,9.429031680778126e-32
68,Continental,434,0.004950011890488363,0.7678385769113056,0.4458739815060049,3.4783049129515176,0.17797258768241986,1.6965548668554903e-12,226.35612366298426,7.037076529379724e-50,0.013824884792626729,0.0069124423963133645,1.569794257235772,0.05562385065019853,1732.0,434.0,0.1779248202591308,1.722185208682696e-12
70,Daimler,434,0.026362884744471366,1.0771736795930573,0.9086958077760033,3.993263214770524,0.14306319765837872,3.254191096397744e-08,339.1241532525015,2.291531234140609e-74,0.05069124423963134,0.009216589861751152,1.4074741822060703,0.04862181158670608,1732.0,434.0,0.1539639625076099,1.8928274442425533e-09
71,Danone,433,-0.02303546911127097,1.3354624449605996,0.24439871948810546,0.04154149884116043,0.1956588803222773,5.348578458829905e-15,4.2941113827692465,0.11682762847653186,0.15704387990762125,0.018475750577367205,1.0532148179623102,0.017515080453839864,1730.0,433.0,0.20428494822608467,2.540890461336733e-16
72,Degussa,434,0.04314231153251358,1.0151668082760015,0.39946637671369484,4.108067883246183,0.23557108428636342,1.1414372265879363e-21,307.6498864181076,1.5655825975877918e-67,0.14746543778801843,0.016129032258064516,0.7359489123501832,0.005354249500761083,1732.0,434.0,0.2358430590067549,1.0181555922827504e-21
73,Deutsche Bahn,434,-0.07588450133085663,1.207630726721733,-0.06873169242606264,3.3559309967188096,0.20967741935483875,3.229443746926375e-17,197.6966932652508,1.176815858444157e-43,0.10829493087557604,0.0944700460829493,0.6575078366273222,0.004686645751428817,1732.0,434.0,0.18462536961709874,2.0186599686736316e-13
74,Deutsche Post,434,0.4234259767947109,12.82200349608622,1.563360183638507,10.393231930526987,0.2506414150713361,1.64402336618461e-24,2079.189726264598,0.0,0.3778801843317972,0.3778801843317972,2.3307108031614945,0.005833489139135966,1732.0,434.0,0.3132259881299878,2.4629296813659043e-38
75,Deutsche Telekom,434,-0.02433102526082924,0.8438407449432027,0.17681512909145,-0.2998892452570252,0.18101909486220824,6.464560374995644e-13,3.986263589579453,0.13626799308890744,0.0069124423963133645,0.002304147465437788,1.060772108331164,0.04973542365341081,1732.0,434.0,0.1630393052471516,1.5070276390996927e-10
76,Diageo,434,-0.008631458698275592,1.4953152307662136,0.2777021725406261,0.42295012180377123,0.1863017852704349,1.1657154524736257e-13,8.49558291968898,0.014295771855966762,0.1935483870967742,0.03225806451612903,1.1370222841956428,0.017311240147633168,1732.0,434.0,0.18650460919868062,1.0904110340683234e-13
78,DSG International,437,0.007530371188222593,0.6166811051789712,-0.8848605019860656,7.360252309521208,0.25406999954515647,2.3589722798619493e-25,1017.0433336142656,1.418554995296148e-221,0.006864988558352402,0.002288329519450801,1.6073265367761052,0.04779464187847374,1745.0,437.0,0.2236003431796164,1.1245360213986336e-19
80,DSM,437,-0.23058653668390253,11.33976257062402,0.5304117342972239,5.324206674768082,0.23798627002288328,2.9177682337434025e-22,522.1762415000677,4.08197055623081e-114,0.4462242562929062,0.4462242562929062,1.7043386014258215,0.0019600080146851234,1747.0,437.0,0.26010112509632544,1.4385185877727434e-26
81,EADS,434,0.006289769829202847,1.3882716993274125,0.1772048207950043,-0.3535681316840975,0.1716405345032197,1.194408776751361e-11,4.642465896117941,0.09815249404288529,0.14746543778801843,0.01152073732718894,0.8364659890651679,0.016304437188514338,1732.0,434.0,0.14759642497532033,1.0231016287834638e-08
82,EDF,437,0.034202169825489986,0.8637721209489412,-0.011867452058444417,-0.9355792318010554,0.11327231121281467,2.434792776880965e-05,16.051439359837786,0.00032694464592309465,0.004576659038901602,0.0,0.9199921299174552,0.05167674885585502,1747.0,437.0,0.12677648833290667,1.3953765863676443e-06
