,c,chi
1506,1.2887356974691677,0.04561702854131661
1507,1.9083603489644272,0.0026320534334164122
1903,1.4397564525321136,0.019136055897615804
2576,1.6449573548342307,0.0034964346204324976
1370,1.5,0.00033512064343166337
2615,1.0453183178821452,0.028701695343767895
2611,1.5,0.00023315458148753798
2912,0.7074177559347765,0.013314333239124737
2901,0.6752671861720481,0.07093724777294207
2905,1.070710486235349,0.06250389200759876
2897,0.6268886888823673,0.02979011054736476
2906,0.9234090038712761,0.047221176413458014
2903,0.6887402267936368,0.053495055322472895
2902,0.917566657680328,0.07518989698321432
2899,1.0330666428615911,0.048383581788922284
2908,0.9791822272209303,0.07692430369951098
2911,0.664972652458695,0.03155131704431456
2895,0.8015252862071676,0.037931371815735644
2900,0.959681740281486,0.0496469317368579
2907,0.8790240173969921,0.0759431310000565
2904,1.122824639939095,0.0505396539738686
2910,0.9149522941441557,0.0426562048796758
2909,1.2636364486351417,0.03459553420421717
2894,0.4986552267474906,0.015699102598429094
3082,2.833336501443886,0.001787465190577599
2930,1.3898355408804037,0.0008771631327338069
2927,0.7791805704812834,0.03221070760090482
2924,2.606923191284085,0.0015302193920813732
3122,1.1074868099809951,0.0005501844798929352
