CDS_Id,Name,n,mean_z,std_z,skew_z,excess_kurtosis_z,KS_stat,KS_p,JB_stat,JB_p,exceed_abs_z_gt_2,exceed_abs_z_gt_3
919,Clariant,2166,-0.00017379172260951288,0.9955020095334588,-0.0005536258954987434,0.041059094472682744,0.12719298245614036,5.247889095876852e-31,0.13177636030774637,0.9362355481535761,0.04524469067405355,0.002770083102493075
922,Credit Suisse,2179,-3.379009060709043e-05,0.9985673914244624,-0.00010283653342922332,0.0044541242893716415,0.08627810922441492,1.4631069852843674e-14,0.00026364177321913277,0.9998681878013818,0.04589261128958238,0.0027535566773749425
1015,Centrica,2166,-0.00014904448741043,0.995381870231317,-0.0004732451616972375,0.04250931816538195,0.1283471837488458,1.4478557210417215e-31,0.14191075146163784,0.931503458861234,0.04478301015697138,0.002770083102493075
1017,Banca Popolare,2166,-2.2648137636415446e-05,0.9994914319588106,-6.740548779202012e-05,-0.006654369605347377,0.059095106186518975,5.120488912306258e-07,0.00798940736076306,0.9960132645346151,0.04524469067405355,0.002770083102493075
1025,Ciba,2166,-0.0004338174503414327,0.9929608235681299,-0.0014274186085869512,0.07134158077499064,0.14727608494921518,1.8034097199012563e-41,0.4230757790348609,0.809338615022208,0.04524469067405355,0.002770083102493075
1046,Wendel Investissement,2183,-5.226862576584841e-05,0.9993399294015487,-0.0001601041923082128,-0.004794673876928446,0.06504809894640406,1.7882213445166953e-08,0.005168036730758786,0.9974193173362869,0.04580852038479157,0.002748511223087494
1048,Telekom Austria,2165,-0.00028604054732124935,0.9959065779010883,-0.0008716736249509324,0.03575279576760826,0.12286374133949196,6.098391293948531e-29,0.09791735262416662,0.9522204781473546,0.045265588914549654,0.002771362586605081
1052,BNP Paribas,2166,-3.053612963431325e-05,0.9989916632531675,-9.432483737391844e-05,-0.0007054272039828113,0.0761772853185596,2.230603877992867e-11,0.0010915306501286725,0.9994543835777407,0.04524469067405355,0.002770083102493075
1095,Gecina,2165,-0.00043117681153329707,0.9885500626111693,-0.0014551733491770305,0.12524142169222197,0.17297921478060047,4.05786918672432e-57,1.3474390790724076,0.5098087928533244,0.045265588914549654,0.002771362586605081
1115,Lanxess,2165,-0.0001644522848840313,0.9940982459077385,-0.0005287435674377527,0.05797125003491743,0.1392609699769054,4.323399475766827e-37,0.2736498697880877,0.8721228910548984,0.045265588914549654,0.002771362586605081
1118,ITV PLC,2165,-2.7402605506084718e-05,0.9995735585117417,-8.715417207407392e-05,-0.0076792829484588765,0.05496535796766744,3.985941889207294e-06,0.009819132477989823,0.9951024659822832,0.045265588914549654,0.002771362586605081
