CDS_Id,n,mean,std,min,p01,p05,p95,p99,max,skew,excess_kurtosis,Name
73.0,2166.0,0.00021119949518918254,0.03013366131618689,-0.2766666666666667,-0.08286882102767902,-0.029368575624082238,0.02853043656486981,0.08017120706363719,0.4750000000000001,3.741132963915649,74.97942480251633,Deutsche Bahn
74.0,2166.0,0.0005260575772958069,0.03282945759445058,-0.20833333333333337,-0.09465408805031444,-0.04610963748894781,0.04993654822335031,0.11080516100451308,0.30000000000000004,1.0545460662445068,11.445186910997746,Deutsche Post
75.0,2166.0,0.0005074617135517272,0.033922628394866865,-0.24141414141414153,-0.08604761904761907,-0.04761904761904767,0.05605607476635516,0.10683333333333332,0.22033519553072622,0.4677591775884149,6.39275177553154,Deutsche Telekom
76.0,2166.0,0.0006877486463923772,0.03782377057678257,-0.1630434782608695,-0.08763285024154593,-0.05299045695607482,0.054511211444805086,0.11184486373165602,0.640625,3.4346054978521123,48.291030880316086,Diageo
78.0,2182.0,0.0004337887568230729,0.035481404775443814,-0.27368785726658584,-0.08947572069836278,-0.049038725073762765,0.05711378629197562,0.09718499501845865,0.33333333333333326,0.5121812874284407,12.156767005517073,DSG International
80.0,2184.0,0.0006286406691229958,0.03464348027568066,-0.16000000000000003,-0.09791913135078192,-0.049141340953158454,0.051347170980242544,0.11432876415053721,0.2790697674418605,1.3455627962447565,11.175375919385333,DSM
81.0,2166.0,0.0008336933656889538,0.0371366603022915,-0.19106317411402163,-0.09713322580645163,-0.052419902219967535,0.05746347885170716,0.11586034542245462,0.3303538175046554,0.9784958890053777,9.481987407200684,EADS
82.0,2184.0,0.0012604018775117533,0.03811918724422835,-0.20382740566889324,-0.09252830170980939,-0.052125760691684474,0.0611317254174397,0.13442811732260296,0.27363737486095663,1.107085882963471,8.039886415674655,EDF
83.0,2180.0,0.0012090919996184896,0.044210372627908896,-0.32082794307891327,-0.11903792375999611,-0.05714617041250209,0.06399281053900188,0.16242326411421174,0.41176470588235303,1.363721298603558,14.30611722836585,Edison
84.0,2184.0,0.0016646395852511898,0.044867506675886466,-0.35833071854408527,-0.11430376072062504,-0.06216779589625233,0.07269634637514383,0.13316642208815707,0.381578947368421,0.525438901876782,8.481865030978135,Energias de Portugal
85.0,2166.0,0.0005610074727107252,0.03350580780539516,-0.16083916083916083,-0.09572146184458129,-0.0499643874643875,0.0527505499477543,0.11111111111111116,0.25,0.6137309012937661,6.273320760380175,Electrolux
88.0,2166.0,0.0010148690439036854,0.04246870516592461,-0.26537433155080203,-0.11057563587684072,-0.058663253046512986,0.06542290280714746,0.14142536967544597,0.4893617021276595,1.4246803242495039,15.310630982321815,Endesa
90.0,2166.0,0.0011293036210676493,0.044742554009582894,-0.32477834811012607,-0.10862593248131709,-0.06451332723163425,0.07392855669073062,0.12843326885880058,0.4444444444444444,0.8944514402141922,10.085035505683635,ENEL
91.0,2184.0,0.0009511222299894536,0.037744697012202025,-0.25,-0.09736111111111109,-0.04898373983739842,0.056525863868204435,0.12187454145267834,0.28036271740746255,0.6253026844996031,11.25628020896566,EnBW
92.0,2166.0,0.0011997683810958545,0.03816898934127029,-0.22197558268590456,-0.09878892849936086,-0.054548942121100424,0.06407815316973936,0.1240980104777346,0.30756013745704447,0.8639875648921438,7.614495389251987,ENI
93.0,2166.0,0.0009124699758709456,0.03423871341871824,-0.1428571428571429,-0.08883572567783098,-0.04997920133111483,0.0533738946137543,0.1142900005124206,0.26923076923076916,0.9637111472487923,6.883608573655165,E.ON
94.0,2165.0,0.00042681407361257054,0.030242390561017178,-0.2186046511627907,-0.07715202907328889,-0.04169446761189877,0.043398262901259546,0.10798553814777084,0.33333333333333326,1.615870881910537,17.817425810509928,Ericsson
97.0,2166.0,0.0013062029176189507,0.03826145719347825,-0.2419967444384158,-0.09744244392155685,-0.051265482554971376,0.06482116801000554,0.12948717948717914,0.27003948214121754,0.7318694119069709,8.045815026169997,Finmeccanica
